order_id,date,category,product,region,quantity,unit_price,revenue
100069,2024-01-02,Apparel,Denim Jacket,South,2,2345.49,5863.72
100070,2024-01-02,Home & Kitchen,Blender,East,2,1638.04,2784.66
100071,2024-01-02,Beauty & Personal Care,Hair Dryer,East,1,1544.8,1313.08
100072,2024-01-02,Beauty & Personal Care,Face Serum,West,2,751.97,1729.53
100073,2024-01-02,Apparel,Denim Jacket,North,1,2052.81,2155.45
100074,2024-01-02,Office Supplies,Wireless Mouse,Central,2,810.98,1135.37
100075,2024-01-02,Beauty & Personal Care,Face Serum,West,2,767.47,1765.19
100076,2024-01-02,Apparel,Running Shoes,East,1,3030.17,2575.64
100077,2024-01-02,Apparel,Running Shoes,South,1,3125.64,3907.05
100078,2024-01-02,Beauty & Personal Care,Electric Trimmer,East,2,938.22,1594.97
100079,2024-01-02,Electronics,Bluetooth Speaker,North,1,1479.48,1553.45
100080,2024-01-02,Beauty & Personal Care,Hair Dryer,South,2,1666.17,4165.42
100081,2024-01-02,Electronics,Power Bank,South,1,849.75,1062.19
100082,2024-01-02,Electronics,Wireless Earbuds,South,1,2072.46,2590.58
100083,2024-01-02,Apparel,Formal Shirt,Central,1,896.03,627.22
100084,2024-01-02,Home & Kitchen,Blender,West,2,1501.39,3453.2
100085,2024-01-02,Beauty & Personal Care,Perfume,East,1,2534.29,2154.15
100086,2024-01-02,Apparel,Cotton T-Shirt,South,2,579.39,1448.47
100087,2024-01-02,Home & Kitchen,Air Fryer,South,1,4266.74,5333.42
100088,2024-01-02,Beauty & Personal Care,Electric Trimmer,Central,2,964.46,1350.24
100089,2024-01-02,Beauty & Personal Care,Face Serum,North,3,820.18,2583.57
100090,2024-01-02,Apparel,Hoodie,West,1,1245.13,1431.9
100091,2024-01-02,Electronics,Wireless Earbuds,West,1,2130.34,2449.89
100092,2024-01-02,Apparel,Formal Shirt,North,1,914.24,959.95
100093,2024-01-02,Beauty & Personal Care,Face Serum,South,2,742.4,1855.99
100094,2024-01-02,Beauty & Personal Care,Perfume,West,1,2634.14,3029.26
100095,2024-01-02,Electronics,Laptop Stand,North,1,799.58,839.56
100096,2024-01-02,Beauty & Personal Care,Electric Trimmer,West,1,1036.5,1191.98
100097,2024-01-02,Electronics,Power Bank,South,1,968.07,1210.09
100098,2024-01-02,Apparel,Cotton T-Shirt,East,1,635.82,540.44
100099,2024-01-02,Beauty & Personal Care,Face Serum,North,1,758.54,796.47
100100,2024-01-02,Office Supplies,Notebook Set,West,1,302.46,347.83
100101,2024-01-02,Electronics,Bluetooth Speaker,Central,1,1517.71,1062.4
100102,2024-01-03,Office Supplies,Ergonomic Chair,East,1,6970.07,5924.56
100103,2024-01-03,Electronics,Wireless Earbuds,North,1,1936.54,2033.36
100104,2024-01-03,Home & Kitchen,Blender,East,1,1575.66,1339.31
100105,2024-01-03,Electronics,Power Bank,East,1,832.27,707.43
100106,2024-01-03,Home & Kitchen,Non-Stick Pan Set,South,1,1817.93,2272.41
100107,2024-01-03,Beauty & Personal Care,Electric Trimmer,East,1,969.62,824.18
100108,2024-01-03,Beauty & Personal Care,Hair Dryer,South,1,1563.35,1954.19
100109,2024-01-03,Apparel,Cotton T-Shirt,West,2,639.35,1470.51
100110,2024-01-03,Apparel,Hoodie,West,1,1369.12,1574.49
100111,2024-01-03,Home & Kitchen,Non-Stick Pan Set,North,1,1897.44,1992.31
100112,2024-01-03,Electronics,Wireless Earbuds,South,1,1939.48,2424.34
100113,2024-01-03,Beauty & Personal Care,Hair Dryer,North,2,1690.22,3549.46
100114,2024-01-03,Home & Kitchen,Blender,East,1,1564.44,1329.77
100115,2024-01-03,Office Supplies,Ergonomic Chair,Central,1,6787.31,4751.11
100116,2024-01-03,Apparel,Running Shoes,South,1,2764.23,3455.28
100117,2024-01-03,Electronics,Power Bank,East,1,850.94,723.3
100118,2024-01-03,Beauty & Personal Care,Perfume,East,2,2695.05,4581.59
100119,2024-01-03,Electronics,Laptop Stand,South,1,745.31,931.64
100120,2024-01-03,Beauty & Personal Care,Face Serum,South,1,758.21,947.76
100121,2024-01-03,Office Supplies,Notebook Set,North,1,289.05,303.5
100122,2024-01-03,Home & Kitchen,Vacuum Cleaner,East,1,5752.96,4890.02
100123,2024-01-03,Beauty & Personal Care,Electric Trimmer,East,1,1026.21,872.27
100124,2024-01-03,Beauty & Personal Care,Sunscreen SPF50,South,1,437.39,546.74
100125,2024-01-03,Beauty & Personal Care,Face Serum,South,1,844.0,1055.0
100126,2024-01-03,Apparel,Cotton T-Shirt,East,2,583.72,992.33
100127,2024-01-03,Home & Kitchen,Vacuum Cleaner,East,1,5901.63,5016.38
100128,2024-01-03,Office Supplies,Wireless Mouse,North,1,759.57,797.55
100129,2024-01-03,Electronics,Power Bank,Central,1,871.32,609.92
100130,2024-01-03,Apparel,Cotton T-Shirt,South,1,611.82,764.78
100131,2024-01-03,Office Supplies,Ergonomic Chair,East,1,7291.76,6198.0
100132,2024-01-03,Office Supplies,Notebook Set,Central,1,316.55,221.58
100133,2024-01-03,Electronics,Power Bank,West,1,906.64,1042.63
100134,2024-01-03,Apparel,Cotton T-Shirt,Central,1,621.4,434.98
100135,2024-01-03,Beauty & Personal Care,Perfume,South,1,2315.45,2894.32
100136,2024-01-03,Beauty & Personal Care,Perfume,Central,1,2690.09,1883.06
100137,2024-01-03,Home & Kitchen,Non-Stick Pan Set,West,1,1814.96,2087.21
100138,2024-01-03,Beauty & Personal Care,Hair Dryer,West,1,1566.43,1801.4
100139,2024-01-03,Electronics,Laptop Stand,North,1,826.26,867.58
100140,2024-01-03,Beauty & Personal Care,Face Serum,West,2,741.34,1705.08
100141,2024-01-03,Electronics,Laptop Stand,East,2,735.66,1250.61
100142,2024-01-03,Apparel,Denim Jacket,North,1,2338.2,2455.11
100143,2024-01-03,Apparel,Hoodie,South,2,1267.41,3168.54
100144,2024-01-03,Beauty & Personal Care,Perfume,East,1,2408.97,2047.62
100145,2024-01-03,Office Supplies,Desk Organizer,North,1,583.85,613.04
100146,2024-01-03,Beauty & Personal Care,Electric Trimmer,Central,1,984.29,689.0
100147,2024-01-03,Electronics,Laptop Stand,East,3,824.68,2102.94
100148,2024-01-03,Apparel,Running Shoes,Central,1,2823.55,1976.49
100149,2024-01-03,Home & Kitchen,Coffee Maker,North,1,2306.14,2421.45
100150,2024-01-03,Home & Kitchen,Vacuum Cleaner,South,1,6439.77,8049.71
100151,2024-01-03,Beauty & Personal Care,Sunscreen SPF50,East,1,477.52,405.89
100152,2024-01-03,Electronics,Bluetooth Speaker,Central,1,1557.12,1089.98
100153,2024-01-03,Apparel,Denim Jacket,East,1,2108.0,1791.8
100154,2024-01-03,Home & Kitchen,Air Fryer,West,1,4038.34,4644.09
100155,2024-01-03,Beauty & Personal Care,Face Serum,West,1,795.96,915.36
100156,2024-01-03,Office Supplies,Notebook Set,West,2,312.76,719.34
100157,2024-01-03,Electronics,Power Bank,East,1,921.0,782.85
100158,2024-01-03,Office Supplies,Wireless Mouse,South,1,857.78,1072.22
100159,2024-01-04,Electronics,Bluetooth Speaker,North,1,1502.86,1578.0
100160,2024-01-04,Home & Kitchen,Air Fryer,North,1,3717.81,3903.7
100161,2024-01-04,Apparel,Running Shoes,North,1,2948.2,3095.61
100162,2024-01-04,Home & Kitchen,Air Fryer,North,2,3679.87,7727.72
100163,2024-01-04,Apparel,Running Shoes,South,1,2966.05,3707.56
100164,2024-01-04,Beauty & Personal Care,Electric Trimmer,South,1,957.84,1197.3
100165,2024-01-04,Home & Kitchen,Vacuum Cleaner,West,1,5836.53,6712.01
100166,2024-01-04,Office Supplies,Notebook Set,South,1,282.28,352.85
100167,2024-01-04,Electronics,Wireless Earbuds,North,2,1842.04,3868.29
100168,2024-01-04,Electronics,Laptop Stand,North,1,765.97,804.27
100169,2024-01-04,Apparel,Running Shoes,East,2,2761.36,4694.3
100170,2024-01-04,Beauty & Personal Care,Electric Trimmer,North,1,1055.82,1108.61
100171,2024-01-04,Electronics,Power Bank,Central,1,913.88,639.71
100172,2024-01-04,Office Supplies,Ergonomic Chair,West,1,7334.07,8434.18
100173,2024-01-04,Apparel,Denim Jacket,North,1,2134.84,2241.58
100174,2024-01-04,Electronics,Laptop Stand,South,1,756.24,945.29
100175,2024-01-04,Beauty & Personal Care,Face Serum,West,1,775.62,891.97
100176,2024-01-04,Office Supplies,Ergonomic Chair,North,1,7215.24,7576.0
100177,2024-01-04,Electronics,Bluetooth Speaker,East,3,1380.04,3519.11
100178,2024-01-04,Electronics,Bluetooth Speaker,East,1,1594.29,1355.15
100179,2024-01-04,Office Supplies,Desk Lamp,East,1,1059.12,900.25
100180,2024-01-04,Electronics,Bluetooth Speaker,South,1,1579.65,1974.56
100181,2024-01-04,Electronics,Bluetooth Speaker,East,1,1588.67,1350.37
100182,2024-01-04,Electronics,Power Bank,East,1,924.55,785.87
100183,2024-01-04,Beauty & Personal Care,Sunscreen SPF50,East,1,483.73,411.17
100184,2024-01-04,Home & Kitchen,Vacuum Cleaner,North,1,6018.42,6319.34
100185,2024-01-04,Home & Kitchen,Non-Stick Pan Set,North,2,1768.78,3714.44
100186,2024-01-04,Apparel,Cotton T-Shirt,Central,1,570.2,399.14
100187,2024-01-04,Beauty & Personal Care,Face Serum,Central,1,795.14,556.6
100188,2024-01-04,Beauty & Personal Care,Sunscreen SPF50,South,1,466.36,582.96
100189,2024-01-04,Beauty & Personal Care,Perfume,West,1,2340.91,2692.05
100190,2024-01-04,Office Supplies,Wireless Mouse,West,1,761.21,875.39
100191,2024-01-04,Beauty & Personal Care,Perfume,North,3,2449.88,7717.11
100192,2024-01-04,Beauty & Personal Care,Perfume,South,1,2542.48,3178.1
100193,2024-01-04,Apparel,Formal Shirt,South,1,961.63,1202.03
100194,2024-01-04,Home & Kitchen,Air Fryer,South,1,3762.97,4703.71
100195,2024-01-04,Electronics,Wireless Earbuds,West,1,2144.49,2466.17
100196,2024-01-04,Electronics,Wireless Earbuds,West,2,1928.03,4434.47
100197,2024-01-04,Electronics,Wireless Earbuds,North,1,1988.9,2088.34
100198,2024-01-04,Electronics,Wireless Earbuds,South,2,2047.78,5119.45
100199,2024-01-04,Home & Kitchen,Air Fryer,North,1,3867.69,4061.07
100200,2024-01-05,Home & Kitchen,Coffee Maker,North,2,2545.68,5345.94
100201,2024-01-05,Apparel,Cotton T-Shirt,North,1,566.44,594.77
100202,2024-01-05,Beauty & Personal Care,Hair Dryer,West,1,1566.06,1800.97
100203,2024-01-05,Home & Kitchen,Non-Stick Pan Set,West,1,1714.61,1971.8
100204,2024-01-05,Office Supplies,Notebook Set,West,1,287.74,330.9
100205,2024-01-05,Beauty & Personal Care,Face Serum,North,1,792.59,832.22
100206,2024-01-05,Electronics,Laptop Stand,West,2,778.46,1790.46
100207,2024-01-05,Apparel,Hoodie,South,1,1228.6,1535.74
100208,2024-01-05,Office Supplies,Ergonomic Chair,West,1,6988.48,8036.75
100209,2024-01-05,Apparel,Formal Shirt,East,1,846.03,719.13
100210,2024-01-05,Electronics,Wireless Earbuds,South,2,1891.4,4728.5
100211,2024-01-05,Apparel,Formal Shirt,North,1,831.4,872.97
100212,2024-01-05,Electronics,Wireless Earbuds,South,1,1987.81,2484.76
100213,2024-01-05,Home & Kitchen,Vacuum Cleaner,East,1,6467.98,5497.78
100214,2024-01-05,Beauty & Personal Care,Perfume,South,1,2667.2,3334.0
100215,2024-01-05,Home & Kitchen,Blender,North,1,1674.33,1758.05
100216,2024-01-05,Apparel,Running Shoes,West,1,3202.35,3682.7
100217,2024-01-05,Home & Kitchen,Blender,East,1,1725.22,1466.44
100218,2024-01-05,Home & Kitchen,Vacuum Cleaner,South,1,5665.29,7081.61
100219,2024-01-05,Apparel,Running Shoes,South,2,2912.22,7280.56
100220,2024-01-05,Beauty & Personal Care,Sunscreen SPF50,East,1,447.04,379.99
100221,2024-01-05,Office Supplies,Notebook Set,South,1,307.52,384.4
100222,2024-01-05,Beauty & Personal Care,Electric Trimmer,South,2,1038.9,2597.25
100223,2024-01-05,Office Supplies,Ergonomic Chair,East,1,6777.81,5761.14
100224,2024-01-05,Office Supplies,Wireless Mouse,West,1,806.9,927.94
100225,2024-01-05,Beauty & Personal Care,Hair Dryer,East,2,1578.35,2683.2
100226,2024-01-05,Apparel,Cotton T-Shirt,South,1,563.14,703.92
100227,2024-01-05,Electronics,Smartwatch,West,1,3590.2,4128.73
100228,2024-01-05,Electronics,Laptop Stand,North,1,845.1,887.36
100229,2024-01-05,Electronics,Smartwatch,West,1,3373.12,3879.09
100230,2024-01-05,Electronics,Smartwatch,West,2,3332.46,7664.66
100231,2024-01-05,Apparel,Denim Jacket,West,2,2237.72,5146.76
100232,2024-01-05,Electronics,Smartwatch,South,3,3442.83,12910.63
100233,2024-01-05,Apparel,Hoodie,North,1,1376.96,1445.81
100234,2024-01-05,Apparel,Denim Jacket,Central,2,2136.45,2991.03
100235,2024-01-05,Apparel,Cotton T-Shirt,South,1,583.1,728.88
100236,2024-01-05,Electronics,Bluetooth Speaker,Central,2,1613.69,2259.17
100237,2024-01-05,Beauty & Personal Care,Perfume,West,1,2491.25,2864.93
100238,2024-01-05,Home & Kitchen,Blender,East,1,1537.04,1306.48
100239,2024-01-06,Electronics,Smartwatch,West,2,3312.96,7619.82
100240,2024-01-06,Electronics,Wireless Earbuds,West,2,1883.32,4331.64
100241,2024-01-06,Beauty & Personal Care,Hair Dryer,North,1,1726.56,1812.89
100242,2024-01-06,Electronics,Laptop Stand,South,1,854.34,1067.93
100243,2024-01-06,Office Supplies,Ergonomic Chair,North,1,7324.58,7690.81
100244,2024-01-06,Electronics,Bluetooth Speaker,West,1,1578.75,1815.57
100245,2024-01-06,Electronics,Laptop Stand,South,1,799.1,998.87
100246,2024-01-06,Apparel,Hoodie,Central,3,1302.42,2735.08
100247,2024-01-06,Electronics,Power Bank,West,3,872.87,3011.39
100248,2024-01-06,Home & Kitchen,Air Fryer,North,1,3905.16,4100.42
100249,2024-01-06,Beauty & Personal Care,Electric Trimmer,West,2,985.68,2267.06
100250,2024-01-06,Home & Kitchen,Coffee Maker,West,1,2656.15,3054.57
100251,2024-01-06,Electronics,Power Bank,West,1,849.16,976.54
100252,2024-01-06,Apparel,Denim Jacket,North,1,2176.59,2285.42
100253,2024-01-06,Beauty & Personal Care,Face Serum,North,1,840.31,882.32
100254,2024-01-06,Electronics,Wireless Earbuds,West,2,2011.46,4626.35
100255,2024-01-06,Beauty & Personal Care,Face Serum,North,1,829.4,870.87
100256,2024-01-06,Electronics,Smartwatch,East,1,3479.23,2957.34
100257,2024-01-06,Home & Kitchen,Blender,North,1,1663.34,1746.51
100258,2024-01-06,Electronics,Power Bank,North,1,945.48,992.75
100259,2024-01-06,Home & Kitchen,Air Fryer,Central,1,4097.24,2868.07
100260,2024-01-06,Home & Kitchen,Vacuum Cleaner,West,3,6356.88,21931.25
100261,2024-01-06,Electronics,Smartwatch,South,1,3380.92,4226.15
100262,2024-01-06,Beauty & Personal Care,Face Serum,East,2,825.91,1404.05
100263,2024-01-06,Electronics,Bluetooth Speaker,North,1,1495.69,1570.47
100264,2024-01-06,Electronics,Smartwatch,West,2,3533.28,8126.53
100265,2024-01-06,Home & Kitchen,Non-Stick Pan Set,South,1,1745.68,2182.1
100266,2024-01-06,Apparel,Hoodie,North,1,1239.2,1301.16
100267,2024-01-06,Office Supplies,Wireless Mouse,East,1,848.89,721.56
100268,2024-01-06,Home & Kitchen,Vacuum Cleaner,Central,1,5725.62,4007.93
100269,2024-01-06,Apparel,Cotton T-Shirt,North,1,571.6,600.18
100270,2024-01-06,Electronics,Bluetooth Speaker,South,1,1411.38,1764.23
100271,2024-01-06,Office Supplies,Desk Organizer,South,1,556.38,695.47
100272,2024-01-06,Home & Kitchen,Coffee Maker,East,1,2654.28,2256.14
100273,2024-01-06,Office Supplies,Desk Organizer,North,1,562.13,590.24
100274,2024-01-06,Apparel,Cotton T-Shirt,West,1,629.65,724.1
100275,2024-01-06,Apparel,Running Shoes,Central,1,2951.62,2066.14
100276,2024-01-06,Home & Kitchen,Non-Stick Pan Set,East,2,1704.11,2896.99
100277,2024-01-06,Office Supplies,Desk Lamp,East,1,1181.8,1004.53
100278,2024-01-06,Home & Kitchen,Vacuum Cleaner,East,1,5827.27,4953.18
100279,2024-01-06,Electronics,Smartwatch,North,2,3549.01,7452.92
100280,2024-01-06,Home & Kitchen,Blender,South,1,1708.18,2135.23
100281,2024-01-06,Office Supplies,Notebook Set,South,1,296.66,370.82
100282,2024-01-06,Apparel,Denim Jacket,East,1,2135.92,1815.53
100283,2024-01-06,Home & Kitchen,Non-Stick Pan Set,South,1,1702.88,2128.6
100284,2024-01-06,Beauty & Personal Care,Perfume,North,1,2601.17,2731.23
100285,2024-01-06,Electronics,Smartwatch,West,2,3553.53,8173.11
100286,2024-01-06,Apparel,Formal Shirt,Central,1,959.97,671.98
100287,2024-01-06,Apparel,Running Shoes,North,1,3085.57,3239.85
100288,2024-01-06,Apparel,Running Shoes,West,2,2997.28,6893.75
100289,2024-01-06,Home & Kitchen,Air Fryer,North,1,3890.69,4085.22
100290,2024-01-06,Office Supplies,Desk Lamp,East,1,1039.32,883.42
100291,2024-01-06,Beauty & Personal Care,Hair Dryer,East,1,1718.07,1460.36
100292,2024-01-06,Office Supplies,Wireless Mouse,North,1,847.34,889.71
100293,2024-01-06,Home & Kitchen,Vacuum Cleaner,North,2,5981.5,12561.14
100294,2024-01-06,Apparel,Hoodie,East,1,1271.98,1081.18
100295,2024-01-06,Home & Kitchen,Vacuum Cleaner,North,1,6323.15,6639.31
100296,2024-01-06,Home & Kitchen,Blender,West,1,1604.23,1844.87
100297,2024-01-06,Home & Kitchen,Coffee Maker,West,1,2566.31,2951.25
100298,2024-01-06,Home & Kitchen,Blender,North,1,1604.69,1684.93
100299,2024-01-06,Electronics,Power Bank,North,1,876.58,920.41
100300,2024-01-06,Electronics,Bluetooth Speaker,South,2,1612.78,4031.96
100301,2024-01-06,Electronics,Laptop Stand,East,2,816.16,1387.47
100302,2024-01-06,Home & Kitchen,Air Fryer,North,1,4314.79,4530.53
100303,2024-01-06,Office Supplies,Notebook Set,North,1,289.52,303.99
100304,2024-01-06,Office Supplies,Desk Organizer,Central,2,562.34,787.28
100305,2024-01-06,Electronics,Wireless Earbuds,West,1,2010.16,2311.69
100306,2024-01-07,Home & Kitchen,Blender,North,2,1550.56,3256.17
100307,2024-01-07,Electronics,Bluetooth Speaker,South,2,1401.69,3504.23
100308,2024-01-07,Office Supplies,Ergonomic Chair,West,3,7382.16,25468.45
100309,2024-01-07,Office Supplies,Wireless Mouse,North,1,804.84,845.08
100310,2024-01-07,Apparel,Formal Shirt,Central,1,896.55,627.58
100311,2024-01-07,Home & Kitchen,Vacuum Cleaner,South,1,5894.86,7368.58
100312,2024-01-07,Electronics,Power Bank,West,1,960.95,1105.09
100313,2024-01-07,Apparel,Running Shoes,North,1,2857.84,3000.73
100314,2024-01-07,Office Supplies,Desk Lamp,East,2,1182.91,2010.95
100315,2024-01-07,Electronics,Smartwatch,North,1,3254.53,3417.26
100316,2024-01-07,Electronics,Wireless Earbuds,Central,1,2039.3,1427.51
100317,2024-01-07,Electronics,Bluetooth Speaker,West,1,1586.33,1824.28
100318,2024-01-07,Office Supplies,Ergonomic Chair,North,1,6929.39,7275.86
100319,2024-01-07,Office Supplies,Desk Organizer,South,1,602.88,753.6
100320,2024-01-07,Electronics,Power Bank,East,1,889.62,756.17
100321,2024-01-07,Electronics,Smartwatch,West,1,3743.47,4304.98
100322,2024-01-07,Electronics,Laptop Stand,East,1,800.05,680.04
100323,2024-01-07,Home & Kitchen,Air Fryer,Central,1,3984.89,2789.42
100324,2024-01-07,Home & Kitchen,Vacuum Cleaner,East,1,6131.08,5211.42
100325,2024-01-07,Electronics,Wireless Earbuds,Central,1,2125.9,1488.13
100326,2024-01-07,Home & Kitchen,Blender,West,1,1671.08,1921.75
100327,2024-01-07,Home & Kitchen,Air Fryer,East,2,4082.86,6940.86
100328,2024-01-07,Home & Kitchen,Non-Stick Pan Set,West,2,1761.84,4052.24
100329,2024-01-07,Home & Kitchen,Blender,West,1,1659.52,1908.45
100330,2024-01-07,Home & Kitchen,Non-Stick Pan Set,West,1,1712.24,1969.08
100331,2024-01-07,Apparel,Denim Jacket,West,2,2118.99,4873.67
100332,2024-01-07,Electronics,Wireless Earbuds,North,1,1932.26,2028.87
100333,2024-01-07,Apparel,Formal Shirt,West,1,928.94,1068.28
100334,2024-01-07,Electronics,Power Bank,South,1,866.41,1083.01
100335,2024-01-07,Home & Kitchen,Coffee Maker,North,1,2580.98,2710.03
100336,2024-01-07,Electronics,Bluetooth Speaker,West,1,1574.57,1810.75
100337,2024-01-07,Home & Kitchen,Non-Stick Pan Set,West,1,1758.94,2022.78
100338,2024-01-07,Electronics,Smartwatch,South,1,3639.96,4549.95
100339,2024-01-07,Home & Kitchen,Non-Stick Pan Set,South,1,1781.39,2226.74
100340,2024-01-07,Home & Kitchen,Vacuum Cleaner,South,1,6411.73,8014.67
100341,2024-01-07,Home & Kitchen,Coffee Maker,East,2,2698.45,4587.37
100342,2024-01-07,Apparel,Cotton T-Shirt,Central,1,595.26,416.68
100343,2024-01-07,Electronics,Laptop Stand,North,1,798.27,838.19
100344,2024-01-07,Home & Kitchen,Non-Stick Pan Set,East,2,1686.36,2866.8
100345,2024-01-07,Electronics,Bluetooth Speaker,West,2,1617.68,3720.66
100346,2024-01-07,Office Supplies,Ergonomic Chair,South,1,6739.29,8424.12
100347,2024-01-07,Apparel,Formal Shirt,Central,1,907.2,635.04
100348,2024-01-07,Home & Kitchen,Coffee Maker,North,1,2678.65,2812.58
100349,2024-01-07,Home & Kitchen,Air Fryer,West,1,3801.88,4372.16
100350,2024-01-07,Electronics,Smartwatch,South,2,3297.49,8243.72
100351,2024-01-07,Apparel,Formal Shirt,West,1,866.81,996.83
100352,2024-01-07,Office Supplies,Notebook Set,South,1,287.19,358.98
100353,2024-01-07,Beauty & Personal Care,Hair Dryer,West,1,1684.74,1937.45
100354,2024-01-07,Electronics,Power Bank,East,3,832.64,2123.23
100355,2024-01-07,Electronics,Wireless Earbuds,East,2,1867.56,3174.85
100356,2024-01-07,Home & Kitchen,Coffee Maker,South,1,2377.25,2971.56
100357,2024-01-07,Home & Kitchen,Blender,South,2,1635.39,4088.48
